aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
category,shoes,fused_clip,hr_at_5,0.16,0.11055276381909548,0.2132078261298111,200,192
category,shoes,fused_clip,hr_at_10,0.23,0.1717171717171717,0.29,200,192
category,shoes,fused_clip,ndcg_at_1,0.055,0.025,0.08955223880597014,200,192
category,shoes,fused_clip,ndcg_at_5,0.10704395234790208,0.07079425053801748,0.145898218089663,200,192
category,shoes,fused_clip,ndcg_at_10,0.12876436561380758,0.09278788356931005,0.1687944804335365,200,192
category,shoes,fused_clip,mrr,0.1231223804204555,0.09199296938479283,0.15700572401676097,200,192
category,tops,fused_clip,hr_at_1,0.035,0.010151002409885663,0.06123233908948183,200,192
category,tops,fused_clip,hr_at_5,0.125,0.08040201005025126,0.171730462519936,200,192
category,tops,fused_clip,hr_at_10,0.21,0.155,0.2676767676767677,200,192
category,tops,fused_clip,ndcg_at_1,0.035,0.01015228426395939,0.06091370558375635,200,192
category,tops,fused_clip,ndcg_at_5,0.07940471239125088,0.04990972383135437,0.11176793966642026,200,192
category,tops,fused_clip,ndcg_at_10,0.10542583608499317,0.07502195465133853,0.1375987556139252,200,192
category,tops,fused_clip,mrr,0.10137381545067628,0.07607501873097151,0.1305761307707028,200,192
category_macro,all,fused_clip,hr_at_1,0.045,0.032055622164056344,0.05879150314483622,1000,734
category_macro,all,fused_clip,hr_at_5,0.14300000000000002,0.11923683927252333,0.16822118782731982,1000,734
category_macro,all,fused_clip,hr_at_10,0.231,0.2029938032345867,0.2596258940694272,1000,734
category_macro,all,fused_clip,ndcg_at_1,0.045,0.032055622164056344,0.05879150314483622,1000,734
category_macro,all,fused_clip,ndcg_at_5,0.09428854534382666,0.0775130138188633,0.11222870245416079,1000,734
category_macro,all,fused_clip,ndcg_at_10,0.12234007459941484,0.10508748587558953,0.14044571669053454,1000,734
category_macro,all,fused_clip,mrr,0.11442510360678586,0.10004180753377578,0.13003518020971527,1000,734
micro,all,minilm_text,hr_at_1,0.048,0.03370758677520295,0.06349287665886025,1000,734
